filename,document_id,classification,category,word_count,page_count,dates,project_names,persons,organizations,locations
CIA-RDP79-00999A000200010001-4.txt,,,experiment_results,129201,258,14/01/09,,"IP Yu|STEM|David Davies|Gillian Boucher|John Gribbin

- John Hall
Eleanor Lawrence|Mary Lindley|Peter Milford|Peter Newinark|Colin Norman|Sally Owen
Allan","CIA|XN|UK 35p USA SHO|Macmillan Journals Limited|Fig|INCREASED

ELECTRON EFFICIENCY|OPTICS|Philips Industries|Electron Optics Department|Eindhoven - The Netherlands",Diamond|Washington|London|the United States|Richniond|Virginia|USA|Richmond|US|Canada
CIA-RDP79-00999A000200010002-3.txt,,,experiment_results,5906,11,14/01/09,,Uri Geller|Harold E. Puthoff|Pat Price|SE|Geller|Re Np:|ONS Aen|Descriptions Chosen|Approved|Grass,"CIA|COMMUNICA|Stanford
Research Institute|Nature|Society|EEG|the Electronics and Bioengineering|Stanford Research Institute|SRI|Geller’s","Menlo Park|California|Burbank|Calif.|West
|Virginia|H.H.|P<0.04|New York City|New York"
CIA-RDP79-00999A000200010005-0.txt,,,other,1821,3,14/01/09,,"f O.

ROOM|John Mihalasky|Mihalasky|Oleg Moiseenko '67|Joseph M. Anderson|William Hazell|Tiernan|Robert A. Comparin|Leonard Salzarulo|Comparin","Release 2014/01/09 :|CIA|the Industrial Engineering Department|the PSI Communications Project|Executive|Association|NCE|Phys|Ilikai
Hotel|NEWSLETTER",Pspecial|Oleg|Hawaii|Honolulu|New Jersey|VPI|Dyric|London|Portugal|Algeria
CIA-RDP79-00999A000200010006-9.txt,,,experiment_results,5030,10,14/01/09,,"Mr Uri Geller|Pat Price|Geller|Uri Geller|Places|ABDE E

B A Cc SOLE

Rinconada Park CE|Grass|H. H.|Siegel|Mrs Judith
Skutch",CIA|EEG|Geller|ref|Tarnat|Arnau|Geller’s|Experiments|SRI’s|Fig,11~13|Shielded|8/7/73 Shielded|Building|California|dacammn|H.H.|P<0.04|New York City|Menlo Park
CIA-RDP79-00999A000200010007-8.txt,,,research_report,1623,3,14/01/09,,"Russell Targ|Wheeler|Psychic|Riemann|Kruskal|L*/L~|e. abeut|Spin 2|streng|Kies CCF
THE INTERACTION OF BIOPLASMIC","UNITED NATIONS EDUCA|CIA|3wL CENTRE FOR THR RETICAL PHYSICS|Stanferd Research Institute|Califernia

Dear Russell|Quantim Fluet|Kerr|Feynman|Gove e &
WW|L",NS|di.e|S percent
CIA-RDP79-00999A000200010008-7.txt,,,experiment_results,9898,19,14/01/09,,"b/|Harold Puthoff
Electronics|Uri Geller|c. Computer|Ingo Swann|Pat Price|Geller|Swann|Price|Grass",Release 2014/01/09 :|CIA|wrestin|InmuLed|Stanford Research Institute|a. Computer|Occipital EEG|EEG|Musso|Granero,Menlo Park|California|H.H.|Faraday|i.é.|New York|New York City|London|Hampshire|England
CIA-RDP79-00999A000200010009-6.txt,,UNCLASSIFIED,experiment_results,11292,22,14/01/09,,"Saad Declassified|Murphy|Survival|C. T. K. Chari|Max Born|Heisenberg|Approved|ethene


--- Page|Hilbert Space|appro- cor","CIA|Psychical Research

Physiological|PROBLEM|Journat|Evidence|Clairvoyant Processes|Quantum Theory|AE|the American Society for Psychical Research|I. J. Good’s",Bastin|pp|Bohr|Ballentine|Jauch|Wigner|AE
CIA-RDP79-00999A000200010010-4.txt,,,correspondence,54,1,14/01/09,,,CIA,
CIA-RDP79-00999A000200010011-3.txt,,,correspondence,63,1,14/01/09,,,Release 2014/01/09|CIA|XN,
CIA-RDP79-00999A000200010012-2.txt,,,experiment_results,294,1,14/01/09,,,"CIA|G
WITIAL STATES|IL STATES|ON-DIAGONAL TRANSITIONS|KEY|TRIALS|BLUE R01|Declassified|PROB",
